datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/25 16:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1,0.4,-17.72104,-57.17631,3.6
2019/01/25 16:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.1,0.2,-17.72597,-57.17238,4.7
2019/02/02 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.3,0.7,-17.56317,-57.22631,7.9
2019/02/02 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56592,-57.19826,46.7
2019/02/02 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56668,-57.20272,3.3
2019/02/02 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56744,-57.20717,3.3
2019/06/25 17:54:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,28,0,1,-16.68438,-56.84381,6.5
2019/01/15 18:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,1.9,0.2,-17.72457,-57.18926,15.8
2019/01/24 17:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.3,0.2,-17.73853,-57.17759,5.4
2019/01/24 17:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.2,0.2,-17.72541,-57.17706,13.7
2019/01/02 17:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,0,0.8,-17.70924,-57.2107,6
2019/01/02 17:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,0,0.8,-17.71099,-57.19895,4.7
2019/01/02 17:18:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,0.1,1,-16.28449,-56.83383,2
2019/01/09 16:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,4.8,0.3,-17.71128,-57.20864,7.1
2019/01/05 18:00:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,0.9,0.7,-17.70898,-57.20861,9.7
2019/01/05 18:00:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.1,0.7,-17.71214,-57.19668,5
2019/01/05 18:00:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,1.1,0.7,-17.71288,-57.20028,9.5
2019/01/18 04:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,10.4,0.1,-17.70879,-57.18489,2.2
2019/01/18 04:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,10.9,0,-17.73222,-57.18021,1
2019/01/18 04:48:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,2,10.8,0,-17.733,-57.17577,1
2019/01/16 05:24:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,0,0,0.3,-17.72622,-57.18936,1.1
2019/01/21 05:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,1,1.7,0.6,-17.71634,-57.18866,1.9
2019/02/02 17:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.9,0.6,-17.60194,-57.23294,6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.7,0.6,-17.59213,-57.22963,0.9
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.7,0.7,-17.58877,-57.22907,1.5
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.7,0.7,-17.58821,-57.2328,2.4
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.7,0.7,-17.58765,-57.23652,2.4
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.6,0.7,-17.58316,-57.2434,3.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.6,0.7,-17.58032,-57.19331,1.1
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.5798,-57.24285,2.4
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57924,-57.24657,2.4
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57751,-57.18902,1.5
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57721,-57.18598,5.3
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57696,-57.19275,1.1
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57664,-57.1897,5.3
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.5764,-57.19648,1.1
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57608,-57.19342,4.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57551,-57.19715,4.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57528,-57.20394,2
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57494,-57.20088,2.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.5744,-57.18169,2.4
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57438,-57.20461,2.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57384,-57.18542,5.3
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57327,-57.18915,5.3
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57271,-57.19287,4.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57214,-57.1966,4.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57158,-57.20033,2.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.57101,-57.20405,2.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.5,0.7,-17.57047,-57.18487,1.5
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.57044,-57.20777,2.1
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56988,-57.2115,2.1
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56931,-57.21522,1.2
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56761,-57.22639,1.9
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56708,-57.20722,0.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56705,-57.23011,3.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.4,0.7,-17.56651,-57.21095,0.6
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.3,0.7,-17.56648,-57.23383,3.8
2019/02/02 05:06:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,3,2.3,0.7,-17.56481,-57.22211,3.4
